student_id,subject,study_hours,sleep_hours,attendance,previous_score,subject_difficulty,assignment_completion,actual_score,predicted_score
STU-002,Database,9.4,7.2,91,78,3,89,84,83.1
STU-002,English,7.2,7.8,94,81,2,88,86,85.4
STU-003,Physics,5.5,5.9,68,55,5,61,54,56.2
STU-003,Programming,8.1,6.8,80,64,3,76,69,70.1
STU-003,Database,7.6,6.7,79,62,3,74,66,67.8
STU-004,Mathematics,12.2,7.5,96,84,4,95,90,89.3
STU-004,Physics,11.5,7.3,94,82,4,93,88,87.1
STU-004,English,6.4,8.2,98,86,2,90,89,88.6
STU-005,Programming,4.9,5.8,62,48,4,58,47,49.5
STU-005,Database,5.4,6.0,66,51,4,62,52,53.8
STU-005,Mathematics,5.1,5.9,64,50,5,60,49,50.4
STU-006,English,8.8,8.1,95,83,2,91,88,87.8
STU-006,Physics,9.1,7.4,89,77,4,85,80,79.2
STU-006,Programming,9.9,7.0,90,79,3,88,83,82.5
STU-007,Database,6.8,6.5,74,58,4,68,60,61.1
STU-007,Mathematics,7.0,6.6,76,59,4,69,62,62.7
STU-007,Physics,6.4,6.2,73,57,5,66,58,59.8
STU-008,Programming,11.0,7.6,92,81,3,94,87,86.4
STU-008,Database,10.5,7.4,91,80,3,92,86,85.2
STU-008,English,7.9,8.0,96,84,2,93,89,88.7
STU-009,Mathematics,9.0,7.0,88,73,4,84,78,77.3
STU-009,Physics,8.6,6.9,86,71,4,82,75,74.6
STU-009,Programming,9.8,7.1,89,76,3,86,80,79.9
STU-010,Database,4.8,5.5,60,45,5,55,44,46.8
STU-010,Mathematics,5.0,5.6,61,46,5,56,45,47.2
STU-010,English,6.2,6.8,70,54,3,64,57,58.5
STU-011,Physics,8.3,6.8,83,69,4,79,73,72.4
STU-011,Programming,8.7,6.9,84,70,3,81,75,74.2
STU-011,Database,8.0,7.0,85,71,3,80,76,75.3
STU-012,Mathematics,10.8,7.2,93,82,4,92,87,86.8
STU-012,Physics,10.1,7.1,92,80,4,90,85,84.9
STU-012,Database,9.7,7.0,91,79,3,89,84,83.7
STU-013,Programming,7.3,6.5,77,63,3,73,66,67.1
STU-013,English,7.6,7.7,88,74,2,82,79,78.8
STU-013,Mathematics,6.9,6.4,76,61,4,71,63,64.9
STU-014,Database,11.2,7.6,95,84,3,96,91,90.4
STU-014,Programming,11.5,7.5,95,85,3,96,92,91.2
STU-014,Physics,10.7,7.4,94,83,4,94,89,88.6
STU-015,English,5.9,6.7,72,56,3,65,58,59.4
STU-015,Mathematics,5.6,6.1,69,53,5,62,52,54.8
STU-015,Physics,5.7,6.0,70,54,5,63,53,55.1
STU-016,Programming,9.2,7.0,88,75,3,87,81,80.6
STU-016,Database,9.0,6.9,87,74,3,86,80,79.7
STU-016,Mathematics,8.5,6.8,85,72,4,84,77,76.9
STU-017,Physics,7.1,6.6,78,62,4,74,65,66.2
STU-017,English,7.4,7.5,87,72,2,80,77,76.5
STU-017,Database,7.0,6.7,79,63,3,75,67,67.8
STU-018,Mathematics,12.0,7.8,97,88,4,97,93,92.5
STU-018,Programming,12.4,7.7,97,89,3,98,94,93.4
STU-018,English,8.6,8.2,99,90,2,96,94,93.1
STU-019,Physics,6.2,6.1,71,55,5,67,56,57.9
STU-019,Database,6.6,6.3,73,57,4,69,59,60.8
STU-019,Programming,6.8,6.4,74,58,4,70,60,61.4
STU-020,English,9.1,8.0,94,82,2,90,88,87.6
STU-020,Mathematics,9.5,7.2,90,78,4,88,83,82.8
STU-020,Database,9.3,7.1,89,77,3,87,82,81.7
